Page,NGC,Type,1951.0+2304,Mag.,Size,Coord.,Description
,205,G,And,8,17.4,0040.4+4141,M110
,404,G,And,10.7,2.1x2.0,0109.4+3543,el circular beautiful brt nucleu
,752,OC,And,5.7,50,0157.8+3741,70 stars large scattered outward
,891,G,And,11.5,11.8X1.1,0222.6+4221,sp extremely elongated edge-on
4,7662,PN,And,9,32x23,2325.9+4233,blue-green oval bright dense
,7686,OC,And,5.6,7.4,2330.2+4908,35 stars loose poor 1 red/orange
,6755,OC,Aql,9,10,1907.8+0414,35 stars large loose fairly rich
,6756,OC,Aql,10.7,3,1908.7+0441,very difficult like a globular
,6781,PN,Aql,11,106,1918.4+0633,circular nebulous no color
,7009,PN,Aqr,8.4,44x2,2104.2-1122,Saturn Nebula
,7606,G,Aqr,10.8,4.4x1.5,2319.1-0829,sp elongated elusive large
,7723,G,Aqr,11.1,2.2x1.6,2338.9-1258,Bsp faint small elusive
,7727,G,Aqr,10.7,2.7,2339.9-1218,sp elusive slightly elongated
,772,G,Ari,10.9,5x3,0159.3+1901,sp elongated elusive
5,1664,OC,Aur,7.5,15,0451.1+4342,25 stars faint rich elongated
,1857,OC,Aur,8.5,9,0520.2+3921,30 stars no shape poor loose
4,1907,OC,Aur,9.9,5,0528.0+3519,tight some nebulosity richish
6,1931,DN,Aur,9.5,3x3,0531.4+3415,starlike with nebulosity around
6,2126,OC,Aur,10,6.5,0603.0+4954,28 stars faint poor blue white
,2281,OC,Aur,6.9,17,0649.3+4104,30 stars bright lg easy
,5248,G,Boo,11.3,6.1x4.4,1337.5+0853,sp lg oval brt nucleus av
,5466,GC,Boo,8.5,5,1405.5+2832,large diffuse faint oval elusive
,5557,G,Boo,11.6,.9x.8,1418.4+3630,el small brt nucleus nebulosity
,5676,G,Boo,11.2,3x1,1432.8+4928,sp very faint large oval
,5689,G,Boo,11.4,2x.5,1435.5+4845,sp faint slight elongated elus
,1501,PN,Cam,13.3,,0407.0+6055,round distict blue-green
,1502,OC,Cam,5.3,7,0407.7+6220,15 stars compact cross-bow doubl
,1961,G,Cam,11.7,3.7x1.6,0542.1+6923,sp faint elus fuzzy sl elongated
,2403,G,Cam,8.9,16.8x10,0736.9+6536,sp lg sl elon face on faint star
,2655,G,Cam,10.7,5x3.4,0855.6+7813,sp faint face-on low surf brt
4,129,OC,Cas,6.5,21,0029.9+6014,50 stars bright rich 6 mag star
4,136,OC,Cas,11.3,1,0031.5+6132,10 stars rich resolvable elongat
,185,G,Cas,9.2,11.5,0039.0+4820,el circular real challenge
,225,OC,Cas,12,7.5,0043.4+6147,21 stars large rich
,278,G,Cas,10.9,1.3x1.3,0052.1+4733,el round bright nucleus
,381,OC,Cas,9.2,6,0108.3+6135,24 stars yellow + red-orangestar
,436,OC,Cas,8.8,4,0115.6+5849,25 stars loose poor large brt
,457,OC,Cas,6.4,10,0119.1+5820,50 stars brt rich scattered bug?
,559,OC,Cas,9.5,4,0129.5+6318,60 righ bright loosely scattered
,637,OC,Cas,8.2,3,0142.9+6400,20 stars compact chain of stars
,654,OC,Cas,6.5,5,0144.1+6153,50 stars loose poor a brt star
,659,OC,Cas,7.9,5,0144.2+6042,20 stars loose poor near 663
,663,OC,Cas,7.1,16,0146.0+6115,80 stars rich resolvable nebulou
,1027,OC,Cas,7.5,7,0242.7+6133,large loose near 7 mag star
,7789,OC,Cas,6.7,16,2357.0+5644,large rich circular sl. nebulous
,7790,OC,Cas,8.5,17,2358.4+6113,25 stars scattered cir nebulous
,40,PN,Cep,10.2,0.6,0013.0+7232,easy round bright greenish
,6939,OC,Cep,10,5,2031.4+6038,very rich small appears nebulous
,6946,G,Cep,10.5,9x7.5,2034.8+6009,sp oval large faint wispy disk
,7142,OC,Cep,9.3,11,2145.9+6548,35 stars rectangular
,7160,OC,Cep,6.6,7,2153.7+6236,25 bright scattered rich resolv.
,7380,OC,Cep,7.2,10,2247.0+5806,50 stars loose poor
,7510,OC,Cep,7.9,2,2311.5+6034,20 stars loose poor arrowhead
,157,G,Cet,10.4,2.8x2.1,0034.8-0824,sp oval 2 stars in it brt nucl.
,246,PN,Cet,8.5,3.8,0047.0-1153,large oval difficult 2 fieldstar
,247,G,Cet,8.9,20,0047.1-2046,sp elusive elongated
,584,G,Cet,10.8,3.8,0131.3-0652,el small dim round fair nucleus
,596,G,Cet,10.9,3.5,0132.9-0702,el very small circular
,615,G,Cet,11.6,4,0135.1-0720,sp small elusive
,720,G,Cet,10.5,4.4,0153.0-1344,el small round  brt nucleus
,779,G,Cet,11.3,3.7x.9,0159.7-0558,Bsp edge on extremely elongated
,908,G,Cet,11,5X2.3,0223.1-2114,sp elongated evenly brt large
,936,G,Cet,10.7,3.3X2.5,0227.6-0109,sp round starlike nucleus
,1022,G,Cet,11.2,1.8x1.4,0238.5-0640,Bsp small almost stellar faint
,1052,G,Cet,11.2,1.3x1,0241.1-0815,el stellar small hint nebulosity
,1055,G,Cet,11.5,6.7x1.5,0241.8+0026,sp edge on elus same field M77
,2204,OC,CMa,9.1,13,0615.7-1839,scattered a yellow-orange star
,2354,OC,CMa,9,25,0714.3-2544,lg dim scattered round
,2360,OC,CMa,9.4,12,0717.8-1537,pretty brt no shape near mag 6
,2362,OC,CMa,10.5,6,0718.8-2457,40 stars lg brt in center temple
,2775,G,Cnc,10.7,2.3x1.9,0910.3+0702,sp circular brt nucleus
,4147,GC,Com,9.4,1.7,1210.1+1833,small starlike outer nebulosity
,4150,G,Com,11.6,1.2x.9,1210.6+3024,el round starlike nucl a brt sta
,4203,G,Com,11,1.8x1.5,1215.1+3312,el sl oval faint brt nucleus av
,4245,G,Com,11.1,1.5x1,1217.6+2936,sp elus starlike hint elong av
,4251,G,Com,10.2,2.3x.5,1218.1+2810,sp round starlike nebulosity
,4274,G,Com,10.8,6.7x1.3,1219.8+2937,sp lg fuzzy brt nucl elongated
,4278,G,Com,10.3,1.4x1.3,1220.1+2917,el starlike brt nucl defined
,4293,G,Com,11.5,4.6x1.6,1221.2+1823,pec edge-on granulated elus elon
,4314,G,Com,10.8,3.1x2.9,1222.6+2953,Bsp oval diffuse brter nucl
,4350,G,Com,11,1.8x.5,1224.0+1642,el round starlike nebulosity
,4394,G,Com,11.2,2.3x2.3,1225.9+1813,Bsp round brt nuc av near M85
,4414,G,Com,9.7,3.2x1.5,1226.4+3113,sp starlike nuc extended arms
,4419,G,Com,11.4,2.2x.6,1226.9+1503,el elong brt nucl fainter arm av
,4448,G,Com,11.4,2.8x1,1228.2+2837,sp sl elong uniform av elus
,4450,G,Com,10,3x2.5,1228.5+1705,sp round brt distinct nucleus
,4459,G,Com,10.9,1.2x1,1229.0+1359,el brt sl elong
,4473,G,Com,10.1,1.6x.9,1229.8+1326,el round starlike nucl brt
,4477,G,Com,10.7,2.4x2.2,1230.0+1338,sp round starlike nucl fair brt
,4494,G,Com,9.6,1.3x1.4,1231.4+2547,el brt starlike neb round small
,4548,G,Com,10.8,3.7x3.2,1235.4+1430,Bsp M91
,4559,G,Com,10.6,11x4.5,1236.0+2758,sp elong uniform fairly brt
,4565,G,Com,10.2,14.4x1.2,1236.3+2559,sp uniform needle beautiful
,4689,G,Com,11.5,,1247.8+1346,sp round uniform av
,4725,G,Com,8.9,10x5.5,1250.4+2530,sp oval starlike nucl easy
,3962,G,Crt,11.3,1.1x.9,1154.7-1358,el round very faint brt nucleus
,4027,G,Crv,11.5,2.4x2,1159.5-1916,sp faint elus hint elong av
,4038,G,Crv,11.5,2.5x2.5,1201.9-1852,sp round brt nucleus
8,4361,PN,Crv,10.8,81,1224.5-1848,lg round fuzzy no color noted
,4111,G,CVn,9.7,3.3x.6,1207.1+4304,el elong starlike outer arms av
,4143,G,CVn,11,1.4x.9,1209.6+4232,el round starlike nucleus small
,4151,G,CVn,11.6,2.5x1.6,1210.5+3924,pec uniform round ovalish elus
,4214,G,CVn,10.3,6.6x5.8,1215.6+3620,irr very brt large diffuse oval
,4258,G,CVn,8.6,19.5x7,1219.0+4718,sp M106
,4346,G,CVn,11.6,1.9x.7,1223.5+4700,el round almost starlike neb
,4449,G,CVn,9.2,4.1x3.4,1228.2+4406,irr sl elong uniform pretty
,4485,G,CVn,11.6,1.5x.8,1230.5+4142,irr uniform brt elusive small
,4490,G,CVn,9.7,5.6x2.1,1230.6+4138,sp lg elong uniform brt  easy
,4618,G,CVn,11.7,.5x3,1241.5+4109,sp lg sl elong uniform brt
,4631,G,CVn,9.3,12.6x1.4,1242.1+3232,sp elong uniform brt easy
,4656,G,CVn,11.2,18x2,1244.0+3210,pec lg elus needle av
,4800,G,CVn,11.1,1.2x1,1254.6+4632,sp round brt stands out well
,5005,G,CVn,9.8,4.4x1.7,1310.9+3703,sp elong lg brt nucleus
,5033,G,CVn,10.3,9.9x4.8,1313.4+3636,sp elong brt needle lg
,5195,G,CVn,8.4,2x1.5,1330.0+4716,pec companion to M51 round
,5273,G,CVn,11.5,.9x.8,1342.1+3539,el brt nucleus av stands out wel
8,6826,PN,Cyg,8.8,22x24,1944.8+5031,small fuzzy round some blue
9,6834,OC,Cyg,10.3,4,1952.2+2925,15 stars a string scattered star
8,6866,OC,Cyg,9,6,2003.8+4409,36 stars rich brt stars large
9,6910,OC,Cyg,7.5,8,2023.1+4047,40 stars rich fairly brt large
9,7000,DN,Cyg,0,120x100,2058.8+4420,North American Nebula
9,7008,PN,Cyg,13.5,86x96,2100.6+5433,seems brighter than 13.5
,7044,OC,Cyg,11.3,3.5,2112.9+4229,40 scattered stars
,7062,OC,Cyg,8.3,5,2123.2+4623,30 stars inter. rich
,7086,OC,Cyg,8.4,8,2130.5+5135,50 stars large scattered
,7128,OC,Cyg,9.7,2,2144.0+5343,20 stars loose poor
5,6905,PN,Del,12,44x37,2022.4+2005,easy oval silver disk
5,6934,GC,Del,10,1.5,2034.2+0724,circular fairly brt nucleus
5,7006,GC,Del,10.3,1.1,2101.5+1611,faint
,3147,G,Dra,10.9,3x2.3,1016.9+7324,sp lg circular near 6 mag star
1,5866,G,Dra,10.8,2.8x1,1506.5+5546,el M102
1,5907,G,Dra,11.3,11.1x.7,1515.9+5619,sp needle very long central bulge
1,5982,G,Dra,10.9,1.2x.8,1538.7+5921,el round fuzzy very small
2,6543,PN,Dra,8.8,22,1758.6+6638,oval brt opaque blue-green
,1084,G,Eri,11,2.1x1.1,0246.0-0735,easy round brt nucleus
,1407,G,Eri,10.6,1.1x1.1,0340.2-1835,el round starlike brt nucleus
,1535,PN,Eri,9.3,20x17,0414.2-1244,small round starlike blue tint
,2129,OC,Gem,7.2,5,0601.0+2318,13 stars broken chainlike
,2158,OC,Gem,11,4,0607.5+2406,brt lg same field as M35
,2266,OC,Gem,9.8,5,0643.2+2658,30 stars 1 8mag triangular shape
,2304,OC,Gem,10.1,5.5,0655.0+1801,small loose irregular
,2355,OC,Gem,9.5,9,0716.9+1347,70 stars tight faint near mag 6
,2371,PN,Gem,11,54x35,0725.6+2929,elongated off-white part of 2372
,2372,PN,Gem,9.5,47x43,0725.6+2930,elongated off-white part ot 2371
,2392,PN,Gem,9.3,47x43,0729.2+2055,small round bluish opaque
,2395,OC,Gem,9.4,12,0727.1+1335,faint elus rich scattered
,2420,OC,Gem,10.2,7,0738.5+2134,20 stars some nebulosity
3,6207,G,Her,11.3,2x1.1,1643.1+3650,sp oval elusive near M13 difficult
2,6229,GC,Her,8.7,1.2,1647.0+4732,faint oval brt central area
,2548,OC,Hya,5.3,30,0813.8-0548,M48
,2811,G,Hya,11.7,1.6x.5,0916.2-1619,sp uniform brightness
,3242,PN,Hya,9,40x34,1024.8-1838,nice disk blue-green fairlylarge
,3621,G,Hya,10.5,5x2,1118.3-3249,sp lg round near some field star
,5694,GC,Hya,11,2.2,1439.6-2632,small fuzzy smudge  brt nucleus
,7209,OC,Lac,6.7,20,2205.2+4630,50 stars bright rich resolvable
,7243,OC,Lac,6.4,20,2215.3+4953,50 stars loose scattered
,7296,OC,Lac,9.4,4,2228.2+5217,15 stars compact elusive
,2903,G,Leo,9.1,11x4.6,0932.2+2130,sp lg elong needle easy
,2964,G,Leo,11,2.2x1.1,0942.9+3151,sp round brt nucleus faint rim
,3190,G,Leo,11.3,3x1,1018.1+2150,sp fuzzy round same field 3193
,3193,G,Leo,11.5,.9x.0,1018.4+2154,el fuzzy roundish uniform c 3190
,3226,G,Leo,11.5,1x.8,1023.4+1954,el round nebulous uniform
,3227,G,Leo,11.4,3x1.2,1023.5+1952,sp round nebulous near NGC 3226
,3377,G,Leo,10.5,1.9x1,1047.7+1359,el small brt nucleus
,3379,G,Leo,9.5,2.2x2,1047.8+1235,el M105
,3384,G,Leo,10.2,4.4x1.4,1048.3+1238,el round brt nucleus >NGC 3379
,3412,G,Leo,10.4,2.4x1.1,1050.9+1325,el circular very difficult
,3489,G,Leo,11.5,2x.9,1100.3+1354,el round impressive brt nucleus
,3521,G,Leo,10.5,7x4,1105.8+0002,sp elongated very impressive
,3593,G,Leo,11.3,2.5x.9,1114.6+1249,sp round faint inconspicious
,3607,G,Leo,9.6,1.7x1.5,1116.9+1803,el like a hairy star round brt
,3608,G,Leo,11.1,1.4x1,1117.0+1809,el round small same field 3607
,3626,G,Leo,10.5,1.6x1.1,1120.1+1821,sp starlike brt nucleus v small
,3628,G,Leo,10.9,12x1.5,1120.3+1336,sp edge-on large beautiful
,3640,G,Leo,10.7,1.1x1,1121.1+0314,el round small faint near a star
,3655,G,Leo,11.3,1.2x.9,1122.9+1635,sp small fuzzy round faint
,3686,G,Leo,11.4,2.4x1.8,1127.7+1713,sp strlike brt nucleus nebulosit
,3810,G,Leo,10.8,3.6x2.5,1141.0+1128,sp sl lg brt nucleus
,3900,G,Leo,11.5,1.7x.8,1149.2+2701,sp starlike sl neb near 3912
,3912,G,Leo,11.5,.9x.5,1150.1+2629,sp small round uniform near 3900
,1964,G,Lep,11.6,5.4x1.1,0533.4-2157,sp sl elongation nucleus visible
,5897,GC,Lib,11,7.3,1517.4-2101,oval partly resolved elusive
,2859,G,LMi,10.7,4.4x3.5,0924.3+3431,Bsp brt nucleus fainter arm
,3245,G,LMi,11.2,1.8x.9,1027.3+2830,el round fuzzy uniform
,3277,G,LMi,12,1.1x.9,1032.9+2831,sp round brt nucleus
,3294,G,LMi,11.4,2.6x1.2,1036.3+3720,sp very difficult uniform brt
,3344,G,LMi,11,7.6x6.2,1043.5+2455,sp round faint near mag 9 star
,3395,G,LMi,12,1.5x.9,1049.8+3259,sp elus sl elong faint nucleus
,3414,G,LMi,11,1.4x1,1051.3+2719,Bsp starlike fuzzy nebulosity
,3432,G,LMi,11.4,5.8x.8,1052.5+3637,sp elongated uniform brt 2 stars
,3486,G,LMi,11,6.8x4.5,1100.4+2858,sp round faint fuzzy uniform
,3504,G,LMi,10.9,2.2x2.2,1103.2+2758,sp round very impressive
,2419,GC,Lyn,11.5,1.7,0738.1+3853,small dim stands out well
,2683,G,Lyn,9.6,8x13,0852.7+3325,sp edge-on pretty needle
,2782,G,Lyn,11.7,1.8x1.6,0914.1+4007,sp starlike some nebulosity
,2185,DN,Mon,11,2x2,0611.1-0613,brt fuzzy with NGC 2183 + 2184
,2215,OC,Mon,8.6,8,0621.0-0717,10 stars round faint a brt star
,2232,OC,Mon,4,20,0626.6-0445,naked eye brt stars one blue-white
